Three Broomsticks	639770583	the hogs head inside the Three Broomsticks	December 15, 2018	50	30	44	57BF402D0C87F700F291AA28FA8CADA4	Skelmersdale, United Kingdom
Three Broomsticks	639760552	Its ok	December 15, 2018	30	14	63	3E31140F89E3E7B578F6BFA3A3D31689	Winnipeg, Canada
Three Broomsticks	639025165	Just for the hot butterbeer	December 11, 2018	50	41	46	1F63D69CCB61E1BC5F5327B60C0E5F2B	Kansas City, Missouri
Three Broomsticks	638955967	Wizarding Meal	December 11, 2018	50	7	57	60033F3E2D336D1056AB7AC4E128809A	
Three Broomsticks	638433354	Mostly great food	December 9, 2018	40	136	207	4150F674974FB28A8B4BD42D872DFB28	Erie, Pennsylvania
Three Broomsticks	638251093	Good-sized portions and hearty food	December 8, 2018	40	129	487	244F85EF2809CF631F1BEA907302C722	London, Canada
Three Broomsticks	638020113	Go for the beer and quiet atmosphere, don't really stay for food	December 7, 2018	40	121	233	98FBB5BFD2F52AAF66E39D92C618D8C6	Brattleboro, Vermont
Three Broomsticks	636869474	A must do - go for breakfast - order kid size - plenty of food	December 1, 2018	50	84	302	A66B8A71511FDA6BED1EE85D5EF750B8	Plano, Texas
Three Broomsticks	636324853	Best food in Hogsmead	November 28, 2018	50	111	376	7DFF0FC2D0EC8250EDE78B32DDAD5040	Charlotte, North Carolina
Three Broomsticks	635714212	Ok for breakfast but a bit pricey	November 25, 2018	30	11	27	4DBB4F4057CBFA81F26029A87988CD89	
Three Broomsticks	634372105	Real food in a fun atmosphere	November 19, 2018	40	96	244	E264BC6999FE403CE043B107F54791E3	Houston, Texas
Three Broomsticks	633230165	Dream come true	November 13, 2018	50	24	105	9F932F2687886B37B1F6FC2FCDA39DE2	Pune, India
Three Broomsticks	632955188	The Kids Loved It	November 12, 2018	50	49	150	B40624CB14200408B81F6F225E85ACE8	Fenton, Michigan
Three Broomsticks	632944061	Food okay but expensive	November 12, 2018	40	142	487	A590F30819118338C1329E74A49FC445	Panama City, Panama
Three Broomsticks	632800780	A beWitching lunch	November 12, 2018	50	5	15	9941F54F8C7113D63391211331A61C3D	Derby, Vermont
Three Broomsticks	632407017	Amazing experience	November 10, 2018	50	13	35	C39967529099FEAA903A2E9290DB5ED6	Manchester, United Kingdom
Three Broomsticks	631387080	Fun Dinner!	November 6, 2018	40	1	6	F2A17B43D24786F0F2892E1BD9D6E39A	
Three Broomsticks	631380543	The most amazing dinner	November 6, 2018	50	1	5	3FBE1D6500575B8B72037A8CB3F673AF	Morelia, Michoacan de Ocampo, Mexico
Three Broomsticks	630676746	Great theming but average food	November 4, 2018	30	56	105	A6E1E9BBCA806034B2116F2BBA5BB1C3	England
Three Broomsticks	630605099	Butterbeer ice cream	November 3, 2018	30	75	292	11834E1E6A010078455B4AF1569AF48B	Louisville, Kentucky
Three Broomsticks	630588543	Don't forget to try the butterbeer	November 3, 2018	50	19	56	4362A51E8F0C72D99375D8E402CA08C6	Florida
Three Broomsticks	630085010	Great Atmosphere OK Food	November 1, 2018	30	1	7	C3FAB7F564B495F78AA4E029A9EFA966	Pennsylvania
Three Broomsticks	629881821	Awful .....	October 31, 2018	10	60	93	C1F3CEBC46F71CD0F44C1067B7084FD3	ireland
Three Broomsticks	629438891	Quite, high ceilings, A/C inside, patio out back	October 29, 2018	50	157	268	68945028CEA49D403409E67DB55F1A33	Olathe, Kansas
Three Broomsticks	629409466	Just to say!!!	October 29, 2018	40	29	108	782C3AEB3EA3CE48700894E5DB516F78	Ramona, California
Three Broomsticks	629211827	Totally the place to eat!	October 28, 2018	50	17	38	8929FCDCBAAFE5DC5BFC1F0E723BAE7B	Bridgeport, Connecticut
Three Broomsticks	627519532	YUM	October 23, 2018	50	21	74	17E8E728C312BC388C745F40FEBAE408	Suffolk, Virginia
Three Broomsticks	626430848	Not great 	October 19, 2018	30	25	26	400DFEF830D0E7AD25CE61DCDE016515	Winchester, United Kingdom
Three Broomsticks	624803256	Food good	October 14, 2018	40	13	68	5D3E6BE9E3A524EC8FEE76D9973062EC	Clinton, Iowa
Three Broomsticks	624797239	Lunch in HogsMeade	October 14, 2018	40	30	101	60C265C4484BD6D2756BED32BC99CEC8	Pittsburgh, Pennsylvania
Three Broomsticks	624116482	Love the Family Option	October 11, 2018	50	60	129	0FD57570E7F2941AEE0595573A17BA53	North Massapequa
Three Broomsticks	623671259	Average Food, Great for Potter Fans	October 10, 2018	30	14	83	D62A42302FB84E1CCB08ADF83612A236	Dixon, Missouri
